object,affordances
Table,support
Table,contain
Table,wrap-grasp
Coffee Table,support
Coffee Table,contain
Coffee Table,grasp
Coffee Table,wrap-grasp
Counter,grasp
Counter,support
Counter,contain
Counter,wrap-grasp
Fork,grasp
Fork,scoop
Fork,contain
Fork,wrap-grasp
Bread Knife,cut
Bread Knife,grasp
Spoon,grasp
Spoon,scoop
Spoon,contain
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,support
Spatula,wrap-grasp
Kitchen Knife,cut
Kitchen Knife,grasp
Kitchen Knife,wrap-grasp
Scissors,cut
Scissors,grasp
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,cut
Bottle Opener,support
Bottle Opener,wrap-grasp
Bowl,contain
Bowl,scoop
Bowl,support
Bowl,wrap-grasp
Plate,grasp
Plate,contain
Plate,support
Cutting Board,grasp
Cutting Board,cut
Cutting Board,support
Cutting Board,wrap-grasp
Coffee Cup,grasp
Coffee Cup,contain
Coffee Cup,wrap-grasp
Glass,grasp
Glass,contain
Glass,support
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,contain
Wine Glass,support
Plastic Cup,grasp
Plastic Cup,contain
Plastic Cup,support
Can,grasp
Can,contain
Bottle,grasp
Bottle,contain
Bottle,support
Bottle,wrap-grasp
Bucket,grasp
Bucket,scoop
Bucket,contain
Bucket,support
Bucket,wrap-grasp
Basket,grasp
Basket,contain
Basket,support
Basket,wrap-grasp
Sink,contain
Sink,support
Sink,wrap-grasp
Dishwasher,contain
Dishwasher,support
Dishwasher,wrap-grasp
Microwave,contain
Microwave,support
Microwave,wrap-grasp
Oven,grasp
Oven,contain
Oven,support
Stove,grasp
Stove,cut
Stove,contain
Stove,support
Plant,grasp
Plant,contain
Plant,support
Watering Can,grasp
Watering Can,contain
Apple,grasp
Apple,contain
Apple,support
Apple,wrap-grasp
Banana,grasp
Banana,contain
Banana,wrap-grasp
Salad,grasp
Salad,scoop
Salad,contain
Salad,wrap-grasp
Orange,grasp
Orange,contain
Orange,scoop
Orange,wrap-grasp
Tomato,grasp
Tomato,contain
Tomato,scoop
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,cut
Cucumber,scoop
Cucumber,contain
Cucumber,wrap-grasp
Milk Cartoon,grasp
Milk Cartoon,contain
Milk Cartoon,support
Cornflakes,grasp
Cornflakes,contain
Cornflakes,scoop
Cornflakes,support
Tape,grasp
Tape,contain
Tape,wrap-grasp
Hammer,grasp
Hammer,pound
Hammer,support
Screw,grasp
Screw,cut
Screw,pound
Screw,wrap-grasp
Nail,grasp
Nail,pound
Stapler,grasp
Stapler,cut
Stapler,contain
Stapler,pound
Stapler,wrap-grasp
Book,grasp
Book,contain
Book,support
Book,wrap-grasp
Remote,grasp
Remote,contain
Remote,support
Remote,wrap-grasp
Chair,support
Chair,grasp
Chair,contain
Chair,wrap-grasp
Desk,grasp
Desk,contain
Desk,support
Desk,wrap-grasp
Monitor,grasp
Monitor,support
Monitor,wrap-grasp
PC,grasp
PC,cut
PC,scoop
PC,contain
PC,support
PC,wrap-grasp
Keyboard,grasp
Keyboard,contain
Keyboard,support
Keyboard,wrap-grasp
Screwdriver,grasp
Screwdriver,support
Screwdriver,pound
Sponge,grasp
Sponge,scoop
Sponge,contain
Sponge,wrap-grasp
Cloth,grasp
Cloth,wrap-grasp
Broom,grasp
Broom,support
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,scoop
Hand Brush,contain
Hand Brush,support
Hand Brush,wrap-grasp
Towel,grasp
Towel,scoop
Towel,contain
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,contain
Paper Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,contain
Paper Towel,wrap-grasp
Pan,grasp
Pan,cut
Pan,scoop
Pan,contain
Pan,support
Pan,wrap-grasp
Pot,grasp
Pot,contain
Pot,support
Pot,wrap-grasp
Box,grasp
Box,contain
Box,support
Box,wrap-grasp
Door,grasp
Door,contain
Door,support
Door,wrap-grasp
Window,grasp
Window,support
Window,wrap-grasp
Bench,support
Bench,wrap-grasp
Couch,grasp
Couch,support
Couch,wrap-grasp
Stool,support
Stool,grasp
Stool,contain
Stool,wrap-grasp
Refrigerator,contain
Refrigerator,support
Refrigerator,wrap-grasp
Tablet,grasp
Tablet,contain
Tablet,support
Tablet,wrap-grasp
Mop,grasp
Mop,scoop
Mop,contain
Mop,support
Mop,wrap-grasp
Tissue,grasp
Tissue,contain
Tissue,wrap-grasp
Tea Pot,grasp
Tea Pot,contain
Vase,grasp
Vase,contain
Vase,support
Vase,wrap-grasp
