object,affordances
Table,grasp
Table,support
Table,wrap-grasp
Coffee Table,grasp
Coffee Table,support
Coffee Table,wrap-grasp
Counter,grasp
Counter,wrap-grasp
Fork,grasp
Fork,scoop
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Bread Knife,wrap-grasp
Spoon,grasp
Spoon,scoop
Spoon,contain
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,contain
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,scoop
Bowl,contain
Bowl,wrap-grasp
Plate,grasp
Plate,scoop
Plate,contain
Plate,support
Plate,wrap-grasp
Cutting Board,grasp
Cutting Board,wrap-grasp
Coffee Cup,grasp
Coffee Cup,scoop
Coffee Cup,contain
Coffee Cup,wrap-grasp
Glass,grasp
Glass,scoop
Glass,contain
Glass,support
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,contain
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,scoop
Plastic Cup,contain
Plastic Cup,wrap-grasp
Can,grasp
Can,scoop
Can,contain
Can,support
Can,wrap-grasp
Bottle,grasp
Bottle,scoop
Bottle,contain
Bottle,wrap-grasp
Bucket,grasp
Bucket,scoop
Bucket,contain
Bucket,wrap-grasp
Basket,grasp
Basket,scoop
Basket,contain
Basket,wrap-grasp
Sink,grasp
Sink,contain
Sink,wrap-grasp
Dishwasher,grasp
Dishwasher,contain
Dishwasher,wrap-grasp
Microwave,grasp
Microwave,contain
Microwave,wrap-grasp
Oven,contain
Stove,contain
Plant,grasp
Plant,wrap-grasp
Watering Can,grasp
Watering Can,wrap-grasp
Apple,grasp
Apple,wrap-grasp
Banana,grasp
Banana,wrap-grasp
Salad,grasp
Salad,wrap-grasp
Orange,grasp
Orange,wrap-grasp
Tomato,grasp
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,wrap-grasp
Milk Cartoon,grasp
Milk Cartoon,contain
Milk Cartoon,wrap-grasp
Cornflakes,grasp
Cornflakes,wrap-grasp
Tape,grasp
Tape,wrap-grasp
Hammer,grasp
Hammer,pound
Hammer,wrap-grasp
Screw,grasp
Screw,wrap-grasp
Nail,grasp
Nail,pound
Nail,wrap-grasp
Stapler,grasp
Stapler,wrap-grasp
Book,grasp
Book,wrap-grasp
Remote,grasp
Remote,wrap-grasp
Chair,grasp
Chair,wrap-grasp
Desk,support
Monitor,grasp
Monitor,wrap-grasp
Screwdriver,grasp
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,wrap-grasp
Cloth,grasp
Cloth,scoop
Cloth,contain
Cloth,wrap-grasp
Broom,grasp
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,wrap-grasp
Towel,grasp
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,scoop
Paper Towel,wrap-grasp
Pan,grasp
Pan,scoop
Pan,contain
Pan,pound
Pan,support
Pan,wrap-grasp
Pot,grasp
Pot,scoop
Pot,contain
Pot,pound
Pot,wrap-grasp
Box,grasp
Box,scoop
Box,contain
Box,support
Box,wrap-grasp
Door,grasp
Door,wrap-grasp
Window,grasp
Window,wrap-grasp
Bench,support
Bench,wrap-grasp
Couch,wrap-grasp
Stool,grasp
Stool,scoop
Stool,wrap-grasp
Refrigerator,contain
Tablet,grasp
Tablet,wrap-grasp
Mop,grasp
Mop,wrap-grasp
Tissue,grasp
Tissue,wrap-grasp
Tea Pot,grasp
Tea Pot,contain
Tea Pot,wrap-grasp
Vase,grasp
Vase,contain
Vase,wrap-grasp
