object,affordances
Table,grasp
Table,support
Coffee Table,grasp
Coffee Table,support
Counter,grasp
Counter,support
Fork,grasp
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Bread Knife,wrap-grasp
Spoon,grasp
Spoon,scoop
Spoon,wrap-grasp
Spatula,grasp
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,scoop
Bowl,contain
Plate,grasp
Plate,contain
Cutting Board,grasp
Coffee Cup,grasp
Coffee Cup,contain
Coffee Cup,wrap-grasp
Glass,grasp
Glass,contain
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,contain
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,scoop
Plastic Cup,contain
Plastic Cup,wrap-grasp
Can,grasp
Can,contain
Can,pound
Bottle,grasp
Bottle,contain
Bottle,pound
Bottle,wrap-grasp
Bucket,grasp
Bucket,contain
Basket,grasp
Basket,contain
Sink,grasp
Sink,contain
Dishwasher,grasp
Dishwasher,contain
Microwave,grasp
Microwave,contain
Oven,grasp
Oven,contain
Stove,grasp
Stove,contain
Plant,grasp
Watering Can,grasp
Watering Can,pound
Watering Can,wrap-grasp
Apple,grasp
Banana,grasp
Salad,grasp
Orange,grasp
Tomato,grasp
Cucumber,grasp
Milk Cartoon,grasp
Milk Cartoon,contain
Cornflakes,grasp
Tape,grasp
Hammer,grasp
Hammer,pound
Hammer,wrap-grasp
Screw,grasp
Nail,grasp
Stapler,grasp
Stapler,pound
Book,grasp
Book,pound
Remote,grasp
Chair,grasp
Desk,grasp
Desk,support
Monitor,grasp
PC,grasp
Keyboard,grasp
Screwdriver,grasp
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,wrap-grasp
Cloth,grasp
Cloth,wrap-grasp
Broom,grasp
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,pound
Hand Brush,wrap-grasp
Towel,grasp
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,grasp
Paper Towel,wrap-grasp
Pan,grasp
Pan,wrap-grasp
Pot,grasp
Pot,scoop
Pot,contain
Pot,pound
Pot,wrap-grasp
Box,grasp
Box,contain
Door,grasp
Window,grasp
Bench,grasp
Bench,support
Couch,grasp
Stool,grasp
Stool,support
Refrigerator,grasp
Refrigerator,contain
Refrigerator,support
Tablet,grasp
Mop,grasp
Mop,pound
Mop,wrap-grasp
Tissue,grasp
Tea Pot,grasp
Tea Pot,contain
Tea Pot,wrap-grasp
Vase,grasp
Vase,contain
