1,Chair
2,Lamp
3,Glasses
4,Bottle
5,Desk
6,Cup
7,Cabinet or shelf
8,Plate
9,Storage box
10,Bench
11,Bowl or Basin
12,Vase
13,Wine Glass
14,Monitor or TV
15,Watch
16,Trash bin Can
17,Stool
18,Barrel or bucket
19,Couch
20,Basket
21,Pen/Pencil
22,Cell Phone
23,Bread
24,Canned
25,Cymbal
26,Faucet
27,Sink
28,Knife
29,Fork
30,Spoon
31,Clock
32,Cake
33,Dinning Table
34,Blackboard/Whiteboard
35,Napkin
36,Orange/Tangerine
37,Banana
38,Nightstand
39,Tea pot
40,Trolley
41,Dessert
42,Remote
43,Refrigerator
44,Oven
45,Jug
46,Gas stove
47,Strawberry
48,Computer Box
49,Toilet Paper
50,Cleaning Products
51,Chopsticks
52,Microwave
53,Cutting/chopping Board
54,Coffee Table
55,Side Table
56,Scissors
57,Ladder
58,Cookies
59,Wheelchair
60,Briefcase
61,Cucumber
62,Pear
63,Extension Cord
64,Folder
65,Mask
66,Kettle
67,Coffee Machine
68,Washing Machine/Drying Machine
69,Tissue
70,Toothbrush
71,Scale
72,Blender
73,Wallet/Purse
74,Tape
75,Tablet
76,Key
77,Brush
78,Induction Cooker
79,Broom
80,Toaster
81,Pliers
82,Hammer
83,Screwdriver
84,Soap
85,Stapler
86,Dishwasher
87,Rice Cooker
88,Electric Drill
89,Lighter
90,Mop
91,Pencil Case
