1,Table
2,Coffee Table
3,Counter
4,Fork
5,Bread Knife
6,Spoon
7,Spatula
8,Kitchen Knife
9,Scissors
10,Bottle Opener
11,Bowl
12,Plate
13,Cutting Board
14,Coffee Cup
15,Glass
16,Wine Glass
17,Plastic Cup
18,Can
19,Bottle
20,Bucket
21,Basket
22,Sink
23,Dishwasher
24,Microwave
25,Oven
26,Stove
27,Plant
28,Watering Can
29,Apple
30,Banana
31,Salad
32,Orange
33,Tomato
34,Cucumber
35,Milk Cartoon
36,Cornflakes
37,Tape
38,Hammer
39,Screw
40,Nail
41,Stapler
42,Book
43,Remote
44,Chair
45,Desk
46,Monitor
47,PC
48,Keyboard
49,Screwdriver
50,Sponge
51,Cloth
52,Broom
53,Hand Brush
54,Towel
55,Paper Towel
57,Pan
58,Pot
59,Box
60,Door
61,Window
62,Bench
63,Couch
64,Stool
65,Refrigerator
66,Tablet
67,Mop
68,Tissue
69,Tea Pot
70,Vase
