/m/01_5g,Chopsticks
/m/02dgv,Door
/m/02mqfb,Can opener
/m/02p5f1q,Coffee cup
/m/02s195,Vase
/m/02tsc9,Slow cooker
/m/02vwcm,Whisk
/m/03c7gz,Door handle
/m/03hj559,Mixing bowl
/m/03v5tg,Drinking straw
/m/040b_t,Refrigerator
/m/0440zs,Cocktail shaker
/m/04dr76w,Bottle
/m/050gv4,Plate (tableware)
/m/078n6m,Coffee table
/m/07c52,Television
/m/07xyvk,Coffeemaker
/m/08ks85,Pizza cutter
/m/0b3fp9,Countertop
/m/0dt3t,Fork
/m/0fqfqc,Drawer
/m/0gjbg72,Shelf
/m/0gjkl,Watch
/m/058qzx,Kitchen knife
/m/0h8mzrc,Wall clock
/m/0h8n5zk,Kitchen & dining room table
/m/0h8n6ft,Cake stand
/m/0h8ntjv,Pressure cooker
